# Bundle file v0.3
44 455
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
8.8697098210e-01 -5.6271525937e-02 4.5838410999e-01
-2.2435735660e-02 9.8612679811e-01 1.6447059256e-01
-4.6127986590e-01 -1.5616482773e-01 8.7340336151e-01
-6.3510464360e-01 -9.9104366252e-02 -6.5420700763e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
8.8733081107e-01 -5.0809220281e-02 4.5832570826e-01
-2.3764205894e-02 9.8755212880e-01 1.5548651201e-01
-4.6052067732e-01 -1.4885971931e-01 8.7507799066e-01
-6.3680499168e-01 -9.0443109938e-02 -6.6269673377e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
8.6712221679e-01 -5.8364864317e-02 4.9466413228e-01
-3.1285046314e-02 9.8476849807e-01 1.7103289477e-01
-4.9711196629e-01 -1.6378201315e-01 8.5208869558e-01
-7.3206684470e-01 -1.2294225108e-01 -6.2020599835e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
-9.1519619512e-01 1.0204639788e-01 -3.8987492496e-01
-1.0726428148e-01 -9.9419481541e-01 -8.4286965241e-03
-3.8847174717e-01 3.4105742702e-02 9.2082924582e-01
3.8965782162e-01 -4.4356550750e-01 -5.1896161232e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
-8.9491305613e-01 1.2436116195e-01 -4.2856145811e-01
-1.3442490576e-01 -9.9090018365e-01 -6.8389140640e-03
-4.2551212284e-01 5.1489100133e-02 9.0348674914e-01
5.2560740046e-01 -4.5458336279e-01 -5.1343614075e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
7.6163005734e-01 -1.3439440699e-01 6.3392254979e-01
-4.3854289162e-03 9.7716591742e-01 2.1243243126e-01
-6.4799724056e-01 -1.6457494708e-01 7.4364955659e-01
-1.2155871065e+00 -2.6872053921e-01 -4.2200796176e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
-8.7001766092e-01 1.3217855059e-01 -4.7497168384e-01
-1.2319847727e-01 -9.9111414575e-01 -5.0148632111e-02
-4.7737972819e-01 1.4885592587e-02 8.7857100695e-01
7.0062463415e-01 -3.1432560121e-01 -5.1167827569e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
-8.5701249328e-01 1.2573075139e-01 -4.9972128684e-01
-1.2475558820e-01 -9.9155140424e-01 -3.5522612037e-02
-4.9996562840e-01 3.1899700768e-02 8.6545755500e-01
7.6731819999e-01 -3.8751121292e-01 -5.0801922279e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
-8.3795439785e-01 1.3911376187e-01 -5.2771184219e-01
-1.4909682357e-01 -9.8853509033e-01 -2.3843497790e-02
-5.2497863226e-01 5.8700395595e-02 8.4908874638e-01
8.6050488690e-01 -4.9050366999e-01 -5.0222080702e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
7.0743938654e-01 -1.6408317094e-01 6.8746361895e-01
2.5970290585e-02 9.7805612814e-01 2.0671660362e-01
-7.0629672120e-01 -1.2838583730e-01 6.9617671493e-01
-1.4418398375e+00 -1.8865148727e-01 -3.5441376913e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
-7.9729290351e-01 1.5849113591e-01 -5.8241272809e-01
